,tqqq,tmf,gld,qld,portfolio
start,2010-12-31 00:00:00,2010-12-31 00:00:00,2010-12-31 00:00:00,2010-12-31 00:00:00,2010-12-31 00:00:00
end,2021-12-31 00:00:00,2021-12-31 00:00:00,2021-12-31 00:00:00,2021-12-31 00:00:00,2021-12-31 00:00:00
rf,0.0,0.0,0.0,0.0,0.0
total_return,107.2477796739573,2.5658593422340856,0.23241064885711982,34.36207384955112,38.96871280887062
cagr,0.530860700273077,0.12251879904453444,0.0191778615495104,0.38282555837437093,0.39830484971095226
max_drawdown,-0.6992207432165207,-0.5694060525892868,-0.45555012734257017,-0.5171541766428469,-0.3980050536784001
calmar,0.759217608206298,0.21516947086775592,0.042098246490201933,0.7402542136650963,1.0007532467987061
mtd,0.01737107004996319,-0.06876475937450077,0.032990977123064535,0.016094007794679177,-0.013891659622912833
three_month,0.3352332201857231,0.07084957225067678,0.04104253710305272,0.2233063178456023,0.2000606927034374
six_month,0.35779593331473225,0.06333900722734986,0.03218017070533685,0.23966020985351055,0.20581164846954692
ytd,0.829812970725871,-0.19804540791205816,-0.04148908875959545,0.5466943996360478,0.27564299272704895
one_year,0.829812970725871,-0.19804540791205816,-0.04148908875959545,0.5466943996360478,0.27564299272704895
three_year,1.0787761437606447,0.152956784418794,0.12131142639430492,0.744204089033347,0.7105745188315662
five_year,0.7283719105496798,0.10654136991348384,0.09143444120632549,0.5224849608291879,0.5005565503727161
ten_year,0.6025859832494382,0.059590316944012844,0.00925755651879423,0.4235985023133457,0.3888116615550741
incep,0.530860700273077,0.12251879904453444,0.0191778615495104,0.38282555837437093,0.39830484971095226
daily_sharpe,1.031920761083679,0.4850336303850337,0.2000331790967696,1.0294585173220465,1.3379537409269273
daily_sortino,1.6130197056423896,0.8115970359971069,0.3144863113022434,1.609704664429151,2.134449339836103
daily_mean,0.5968693618156564,0.2064272248111629,0.03129434028625113,0.4015206361609687,0.3754749267048478
daily_vol,0.5784061958292707,0.4255936328524169,0.15644574778823037,0.3900309040187976,0.28063371342324644
daily_skew,-0.5030682625913326,0.008607783889488334,-0.4865050475818923,-0.4908724305282439,-0.5527621642247877
daily_kurt,8.289698570599008,5.099794010208759,5.393666093472834,9.265099002113866,4.761202104606432
best_day,0.2698838758723372,0.20358715394516902,0.049038376152841456,0.19054071872095157,0.0946629875373668
worst_day,-0.34465165552424737,-0.18140713429956568,-0.0878082643808128,-0.2428097931933404,-0.13860923281964277
monthly_sharpe,1.1265204686359738,0.4823775669360973,0.19687219972078332,1.189031849361592,1.444923892378621
monthly_sortino,2.2986411383086,1.0669925206926367,0.3636735770041872,2.462545386041667,3.325682577425738
monthly_mean,0.550960094898215,0.18592116746846135,0.032274387748490944,0.37783157531082734,0.3721282839742695
monthly_vol,0.48908129966367564,0.3854266454581856,0.1639357298504539,0.3177640493933703,0.25754178883544876
monthly_skew,-0.07306550284059414,0.7967870790950414,0.179356359836517,-0.05493695533743774,-0.0028572223553469476
monthly_kurt,0.46037955155844257,1.2023063335200121,-0.0005664637207889456,0.306284948818333,-0.14348521947337067
best_month,0.46452555703068565,0.4135428622136632,0.12274943937515781,0.30587185717582943,0.2502576164075243
worst_month,-0.3812987092253449,-0.23906710573862233,-0.11062347246832638,-0.21122040043491797,-0.16737557656279733
yearly_sharpe,1.0936034691157623,0.42061284252609416,0.201105853585545,1.2009602895121716,1.2155130131335208
yearly_sortino,10.168312573137163,1.6059600001943184,0.34262196851062676,16.92779607362421,21.950841741341186
yearly_mean,0.6316514135951476,0.2003314097095371,0.02945377940176752,0.42415843605820025,0.4385724410982503
yearly_vol,0.5775872438534527,0.47628457682461006,0.14645908548474287,0.35318273198732725,0.3608126250887569
yearly_skew,-0.05780547832188022,0.9364764139493413,-0.720539030807416,-0.04208994804111116,0.505715446110383
yearly_kurt,-1.562168954644143,-0.018362222042155985,0.9547219391430231,-1.6101936614369858,-0.20530402197019093
best_year,1.397334870126942,1.091790859851307,0.24814561391482037,0.8889542354493121,1.1358331374502835
worst_year,-0.19787976985441347,-0.39002883137316524,-0.2832983601746558,-0.0831044028384148,-0.06626535089876084
avg_drawdown,-0.06612237674754698,-0.14327610682576644,-0.06414702698300495,-0.045032031856992054,-0.03635779934131367
avg_drawdown_days,21.917721518987342,140.42857142857142,282.7142857142857,19.56896551724138,18.063492063492063
avg_up_month,0.1284780325368001,0.09713017504568688,0.042602480022618607,0.08344842760990748,0.07381483555146669
avg_down_month,-0.09857486852522591,-0.07124561032740051,-0.03160187346684977,-0.06566124882680309,-0.04901445073280806
win_year_perc,0.8181818181818182,0.5454545454545454,0.5454545454545454,0.9090909090909091,0.9090909090909091
twelve_month_win_perc,0.860655737704918,0.5819672131147541,0.48360655737704916,0.8934426229508197,0.9262295081967213
